,dog,height,weight,life_expectancy,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,color,marking,breed_info,health,grooming,excercise,training,nutrition
124,Grand-Basset-Griffon-Vendeen,15.5-18 inches,40-45 pounds,13-15 years,5,3,4,3,2,2,Wiry-Double,Medium,5,4,3,4,3,5,4,4,177 of 202,Black & Tan-Fawn-White & Black-White & Gray-White & Lemon-White & Orange-White & Sable-White Black & Tan-White & Grizzle,,"The Grand Basset Griffon Vendéen is a French scenthound. Somewhat active and never high-strung, yet GBGVs are busy dogs who don't tire easily.
First, let's deal with the name. Roughly translated, it means 'Large, low, shaggy dog of the VendÃ©e' and is pronounced 'Grand-Bah-SAY Gree-FOHN VON-day-uhn.' Now, let's have a look at the dog: He's a sweet-faced, long-eared fellow in a shaggy coat whose mustache, beard, and profuse eyebrows suggest the look of a worldly but amiable Frenchman. Beneath the Grand's Old World charm is a rugged, sturdily-built bruiser who is deceptively quick and light-footed. The stamina and courage of these longer-than-tall hunters is the stuff of Gallic legend.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Like all breeds there may be some health issues. Some dogs may be faced with these health challenges in their lives, but the majority of Grand Basset Griffon VendÃ©ens are healthy dogs. Working with a responsible breeder, those wishing to own a Grand Basset Griffon VendÃ©en can gain the education they need to know about specific health concerns within the breed. Good breeders utilize genetic testing of their breeding stock to reduce the likelihood of disease in their puppies.","The Grand Basset Griffon VendÃ©en requires only a weekly brushing with a slicker brush and comb. Beyond regular weekly grooming, the occasional bath will keep him clean and looking his best. Grooming can be a wonderful bonding experience for you and your pet. Their strong fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting and cracking. Their ears should be checked regularly to avoid a buildup of wax and debris which can result in an infection. Teeth should be brushed regularly.","The Grand's quiet, docile demeanor makes them excellent companions and house dogs. Be prepared to give your new GBGV lots of exercise. They will not thrive as a couch potato. You must have a securely fenced-in area for exercise, since these hunting dogs cannot resist the urge to chase. They are sturdy and do not slow down with age, so plan on keeping their exercise routine going into their teenage years.",
125,Great-Dane,30-32 inches (male),140-175 pounds (male),7-10 years,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4,16 of 202,Black-Black & White-Blue-Blue & White-Blue Brindle-Brindle-Chocolate-Fawn-Harlequin-Merle-Silver-White-Chocolate & White-Chocolate Brindle-Mantle-Mantle Merle-Merlequin,White Markings-Merle Markings-Black Markings-Fawn Markings-Black Mask-Blue Mask-Piebald-Brindle Markings-Blue Markings-Chocolate Markings-Chocolate Mask,"The easygoing Great Dane, the mighty ""Apollo of Dogs,"" is a total joy to live with, but owning a dog of such imposing size, weight, and strength is a commitment not to be entered into lightly. This breed is indeed great, but not a Dane.
As tall as 32 inches at the shoulder, Danes tower over most other dogs and when standing on their hind legs, they are taller than most people. These powerful giants are the picture of elegance and balance, with the smooth and easy stride of born noblemen. The coat comes in different colors and patterns, perhaps the best-known being the black-and-white patchwork pattern known as ""harlequin."" Despite their sweet nature, Danes are alert home guardians. Just the sight of these gentle giants is usually enough to make intruders think twice. But those foolish enough to mistake the breed's friendliness for softness will meet a powerful foe of true courage and spirit. Patient with kids, Danes are people pleasers who make friends easily.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Bloat, or gastric dilatation-volvulus (GDV), is the number-one killer of Danes. Owners should educate themselves to recognize the signs that bloat could be happening and what to do if so. Many breeders and owners consider a surgery called a prophylactic gastropexy ('preventative tack') that can help prevent some of the more serious aspects of GDV. Other health issues that can affect the breed include eye and cardiac diseases, hypothyroidism and autoimmune thyroiditis, and hip dysplasia. A responsible breeder will screenbreeding stock for conditions that can affect the breed.","For most of the year the Great Dane's short, smooth coat doesn't shed much, but given the size of the dog, this can still amount to a fair bit of hair. Weekly brushing with a medium-bristle brush, a rubber grooming mitt or tool, or a hound glove will help keep shedding to a minimum. During shedding season once or twice a year, however, hair loss will be more profuse, with a daily brushing ideal. Great Danes need a bath only occasionally, unless they get into something messy. As with all breeds, the Great Dane's nails should be trimmed regularly, because overly long nails can cause the dog pain as well as problems walking and running.","Great Danes may seem sedate, but they require daily exercise appropriate to their age. A brisk walk two or three times a day can be enough. They can make good companions on jogs or hikes, but you must wait until the dog is 2 years old to avoid damage to growing joints. Because of the risk of bloat, avoid rigorous exercise around mealtimes. Danes tend to follow their nose wherever a scent takes them, so they should always be kept on a leash and only allowed loose in areas secured with a tall fence. Many Great Danes enjoy participating in agility, obedience, tracking events, weight pulls, and sports such as flyball.","Early socialization and puppy training classes are recommended. For a breed as large and powerful as the Great Dane, obedience training is a must. Socialization'¿gently exposing the puppy to a wide variety of people, places, and situations'¿will help him develop into a well-adjusted adult. Great Danes are sociable, friendly, and eager to please, and they respond well to firm, consistent training methods. They need to have human contact, affection, and socialization with other people and animals."
126,Great-Pyrenees,27-32 inches (male),100 pounds & up (male),10-12 years,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3,66 of 202,White,Tan Markings-Gray Markings-Badger Markings-Reddish Brown Markings,"The Great Pyrenees is a large, thickly coated, and immensely powerful working dog bred to deter sheep-stealing wolves and other predators on snowy mountaintops. Pyrs today are mellow companions and vigilant guardians of home and family.
Frequently described as 'majestic,' Pyrs are big, immensely strong mountain dogs standing as high as 32 inches at the shoulder and often tipping the scales at more than 100 pounds. These steadfast guardians usually exhibit a Zen-like calm, but they can quickly spring into action and move with grace and speed to meet a threat. The lush weatherproof coat is all white, or white with markings of beautiful shades of gray, tan, reddish-brown, or badger.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Ethical Pyr breeders have excelled in their commitment to health issues. The Great Pyrenees Club of America has stressed having all dogs tested for a variety of conditions that can affect the breed, including elbow and hip dysplasia, eye disorders, luxating patellas, and neurological and immune-mediated disorders. Some cancers occur in the breed, as well as bloat, a life-threatening condition where the stomach suddenly distends and sometimes twists. All Pyr owners should educate themselves to know the signs of bloat, and what to do should it happen.","For all their abundant fur, Pyrs don't require a lot of grooming, as their coat is dirt- and tangle-resistant. They have a double coat, with a long outer coat and a soft undercoat. They will shed this undercoat with great enthusiasm'¿'leading to a snowstorm,' one owner says. She laughs, 'They shed in the spring, after whelping, in honor of certain Druid festivals, and after you enter them in a show!' A thorough brushing with a pin brush or slicker brush at least once a week will help to reduce the shed hair that ends up all over the house. The Pyr's nails should be trimmed regularly, as overly long nails can cause the dog discomfort. The teeth should be brushed often, using a toothpaste designed for dogs.","Pyrs are not a highly active breed. The breed was developed to be a livestock guardian and has been used since ancient times to protect flocks from wolves, bears, and human foes. When working, they will patrol their territory but tend to conserve their energy for fending off whatever may threaten their flock. Moderate exercise such as walks with their owner will help keep them healthy and happy. The breed also exercises mind and body by participating in canine activities such as obedience trials and cart-pulling.","Pyrs were bred to be independent thinkers, to work without guidance watching and protecting their flock. Although they are intelligent, standard obedience training will be met with great indifference. They don't see the point of all that sitting, heeling, and staying. They will let their boredom show by performing any task you deem important with extremely slow responses. Nonetheless, early socialization and puppy training classes are recommended to help give the Pyr a good start in becoming a well-adjusted, well-mannered companion."
127,Greater-Swiss-Mountain-Dog,25.5-28.5 inches (male),115-140 pounds (male),8-11 years,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4,74 of 202,"Red & White-Black, White & Red-Blue White & Tan",,"The Greater Swiss Mountain Dog is a large, immensely strong worker famous for a dense coat of striking black, red, and white markings. Dependable and faithful Swissies earned their feed as herders, drafters, and all-around pasture dogs.
Greater than what? Well, standing as high as 28.5 inches and weighing as much as a midsize human, a Greater Swiss might easily be greater than you. Swissies are immensely strong, yet agile enough to move a flock across the sloping foot of a mountain. The coat is a striking tricolor, black, red, and white. The head and muzzle typically have a white marking (the ""blaze""), setting off a sweet expression. Several big mountain-dog breeds are described as majestic, but Swissies practically invented the word.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The GSMD does not have any breed-specific disorders but can have health problems that affect large-breed dogs. This can include orthopedic issues, although overall the GSMD's orthopedics tend to be very good for a large breed. Splenic torsion, unrelated to gastric torsion, occurs more often in this breed than in other breeds. Owners should be aware of the possibility of bloat and know the symptoms, and what to do should it occur. Urinary incontinence is fairly common in puppies and spayed bitches. Epilepsy can occur in any pedigree; genetic markers for this have not yet been identified. Overall the GSMD tends to be a very healthy breed. More information on breed health can be found on the website of the Greater Swiss Mountain Dog Club of America.","This is basically a 'wash and wear' breed, but they are double coated and do blow their undercoat, usually twice a year. When this is occurring they benefit from a good bath and blow-out, followed by a thorough brushing with a rake or shedding tool. For the rest of the year the occasional bath and brushing usually does the trick. They need regular nail-trims and ear and teeth cleaning.",The Greater Swiss Mountain Dog requires moderate exercise. A walk around the block or a romp in the woods generally will satisfy their daily exercise needs. This breed is much better suited for the person looking for a hiking companion than the person wanting a bicycling or marathon-running partner.,"The GSMD is very food motivated and responds well to training using food rewards. They can also have a stubborn streak, however, so their owners must be more determined than they are. It is not recommended to use any harness-type training device on this breed. They are a draft breed, and the use of a harness (other than for draft work) just tends to make them pull that much harder. As with all dogs, early socialization and puppy training classesare recommended."
128,Greyhound,28-30 inches (male),65-70 pounds (male),10-13 years,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3,145 of 202,Black-Black & White-Black Brindle & White-Blue Fawn-Blue-Blue & White-Blue Brindle-Fawn-Fawn & White-Liver-Liver & White-Red-Red & White-Red Brindle-Red Brindle & White-White-White & Black-White & Fawn-White & Liver-White & Red-Blue Brindle & White-Blue Fawn & White-Black Brindle-White & Blue-White & Black Brindle-Liver Brindle-White & Blue Brindle-White & Blue Fawn-White & Liver Brindle-White & Red Brindle,Ticked-Black Mask-Parti-Color-Solid,"The champion sprinter of dogdom, the Greyhound is a gentle, noble, and sweet-tempered companion with an independent spirit. For thousands of years these graceful hounds have been an object of fascination for artists, poets, and kings.
Greyhounds are the essence of the dog breeder's credo 'Form follows function.' From the narrow, aerodynamic skull to the shock-absorbing pads of the feet, Greyhounds are perfectly constructed for high-speed pursuit. The lean beauty of the Greyhound 'inverted S' shape, created by the deep chest curving gently into a tightly tucked waist, has been an object of fascination for artists, poets, and kings for as long as human beings have called themselves civilized. Greyhounds are the template from which other coursing hounds have been struck.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Greyhounds are overall very healthy dogs, although there are a few conditions the breed can be prone to. As are most deep-chested breeds, the Greyhound is susceptible to bloat and gastric torsion, a sudden and life-threatening enlargement of the stomach that is sometimes accompanied by twisting. Owners should be aware of the symptoms of bloat and seek medical attention immediately if they occur. A condition called Greyhound neuropathy seems to be isolated in the breed. Other disorders that can occur include cardiac and eye conditions. Responsible breeders screen their stock for conditions that can affect the breed.","The Greyhound's short, smooth coat requires little grooming beyond regular baths and weekly rubdowns with a damp cloth or hound glove. His strong, fast-growing nails should be trimmed regularly if not worn down naturally, as overly long nails can cause the dog discomfort. The ears should be checked at least weekly for any buildup of wax or debris that could result in an infection, and cleaned if needed. The teeth should be brushed regularly'¿daily if possible'¿with a toothpaste formulated for dogs.","The Greyhound is the cheetah of the dog world. While perfectly happy to lounge around the house all day, he is capable of amazing speed and energy when faced with potential prey'¿or the chance to chase a tennis ball or a coursing lure. Greyhounds require a regular schedule of exercise time and opportunities to (safely) run full-out. They must only be allowed off leash in a securely fenced area, as they may not be able to resist the urge to run off in pursuit of perceived prey.","Training a Greyhound can be frustrating for anyone who does not understand the genetic origins of the Greyhound temperament. As a sighthound, or coursing breed, the Greyhound was developed to pursue game by sight rather than by scent. They course game independently of humans, making decisions on their own, unlike other types of hunting breeds that require a bit of direction. A Greyhound should be socialized from an early age with small animals and children. Keep training lessons short and sweet, as the Greyhound will become bored very easily. With his mild, sensitive personality, he needs a gentle approach in training, never harsh. Greyhounds are more interested in doing things *with* you than *for* you. They are very affectionate with their families, though they tend to be reserved with strangers."
129,Hamiltonstovare,19-24 inches,40-75 pounds,14-17 years,5,5,3,3,2,2,Smooth,Short,5,4,4,3,4,4,3,4,,Tri-Colored,,"The Hamiltonstovare is a versatile scent hound, bred to hunt hare and fox in Sweden. When not hunting, they can be found in the show ring, as their striking color makes them a stunning show dog. Hamiltons have been used as service dogs in America since the late 90's, where their versatility and close bond with their people shine.
Hamiltonstovare are most commonly multi-purpose dogs; they are hunters, show dogs, and pets, all in one regal and versatile little package. As a hound, they follow their nose wherever it goes (and will not return for a good long while), so leashes and fences are a necessity with this breed. Unlike most scent hounds though, the Hamiltonstovare has an extremely high prey drive for both scent and sight. They can make excellent lure coursing dogs. In the home, they are a lazy, low maintenance dog who rarely sheds. Very food motivated, they can be easy to train despite their hound stubbornness, but higher competitive obedience levels are not usually an option. The only major problem with this breed is accessibility; there is only one breeder of Hamiltonstovare in the United States. Unfortunately, Hamiltonstovare have a rescue problem in the US as well, and some can be found in rural shelters in Virginia, North Carolina, West Virginia, Kentucky, South Carolina and Tennessee.



  



 Club Contact Details



  Hamiltonstovare Club of America

  Ashley Hammock

  OceaniaHamilton@hotmail.com

 Address: 2311 Chapel Hill Rd, Goochland, Va 23063","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","As a breed, Hamiltonstovare are very healthy and rarely diagnosed with inheritable diseases. Hamiltonstovare can get hip dysplasia and epilepsy, but it rarely happens. Care should be taken to not over-exercise them before their growth plates have closed. They are also sensitive to heat and cannot be outside for long periods of time in temperatures over 80 degrees.",Hamiltons require very little grooming and are very easy to keep clean. They are seasonal shedders that only shed low to moderately in the spring and fall. Hamiltonstovare also do not drool and rarely have a doggy odor. A bath once a month and proper nail and dental care are all that are required to keep them looking their best.,"Hamiltonstovare are an active breed but they do have an off switch. They are ready to warm the sofa one day and go for a 10 mile hike the next. Daily, they need at least a 20 minute free-run outside and also something to stimulate their mind. They are a highly intelligent breed that thrives on being with their people and doing things that make their people happy. They are hounds and will follow their nose so a securely fenced yard is recommended.","Hamiltonstovare are a highly perceptive breed and adore their people. They make excellent service dogs, especially for medical alerts and psychological alerting. They are also wonderful family dogs and generally get along with everybody and everything. Hamiltons do have a high prey drive though, so they may not be the best dog for homes with rodents or even some cats as pets. They are highly food motivated and easily trainable to do just about anything."
130,Hanoverian-Scenthound,19-21 inches,79-99 pounds,10-14 years,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3,,Brindle-Red,Black Mask,"The Hanoverian Scenthound has a calm and assured temperament, at the same time sensitive with his handler, and choosy and discerning with strangers. He has high capabilities of concentration in any tracking work with strong loyalty to the hunter in charge.
Hailing from Germany, the Hanoverian Scenthound is the Hannoverscher Schweihund in its native language. In general appearance, the highly efficient Hanoverian is of medium-large size, well proportioned and powerful. Well set strongly muscled fore and hind limbs qualify him for tireless work. His broad, deep chest provides ample room for the lungs and enables long, strenuous chases. The slightly wrinkled forehead and the clear, dark eyes produce the serious expression typical of the Hanoverian Scenthound. Also typical for the breed is the red primary color of the coat, which can vary from a pale fawn color to a dark brindle, appearing almost black.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Hanoverian Scenthounds are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Hanoverian Scenthound's grooming requirements are quite low. He has a short coat which will rarely require brushing and he should be bathed as rarely as possible. The ears of the Hanoverian Scenthound, however, should be regularly checked for signs of infection or irritation. His nails need regular clipping and his teeth should be brushed when needed.","The Hanoverian Scenthound needs a good deal of daily physical activity. If deprived of proper physical and mental stimulation, it may likely lead to some unwelcome behavioral patterns including destructiveness, nervousness and constant barking. The Hanoverian Scenthound should be provided with enough space to roam and play. He has a great stamina and will make a willing hiking, camping or jogging companion.","Training a Hanoverian Scenthound can be challenging because of its independent nature. They require a handler with an assured and strong personality. The breed will ignore commands from a human who takes a lesser position, in its view, in the pack hierarchy."
131,Harrier,19-21 inches,45-60 pounds,12-15 years,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4,189 of 202,Black White & Tan-Lemon & White-Red & White,,"The Harrier is a swift, prey-driven pack hound of medium size first bred in medieval England to chase the hare. Outgoing and friendly, the Harrier is much larger than the Beagle but smaller than another close relative, the English Foxhound.
Somewhat resembling a Beagle with a gym membership, Harriers are larger, more powerful hounds than their diminutive cousin' but smaller than the English Foxhound, a breed used in their development. Standing between 19 and 21 inches at the shoulder, Harriers have the timeless look of a working pack hound: a short, smart-looking coat; low-set, velvety ears; an irresistibly sweet face; and enough muscle and sinew to endure a long day's hunt. A well-built Harrier will cover the ground with a smooth, efficient gait.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","While Harriers are generally healthy dogs, there are several health and genetic screening considerations specific to the breed. Responsible breeders test their stock for conditions the breed can be prone to and communicate with other dedicated breeders regularly, working together for breed health and the preservation of the breed's qualities. A Harrier's ears should be checked weekly for signs of infection, and the teeth should be brushed often, using a toothpaste designed for dogs. Regular visits to the vet for checkups and parasite control help to ensure the dog a long, healthy life.           

Recommended Health Tests from the National Breed Club:       Hip Evaluation     Ophthalmologist Evaluation     Read the Official Breed Club Health Statement.","The Harrier's short, glossy coat requires minimal maintenance. A weekly brushing with a soft-bristle brush or a hound glove will help to remove dirt and loose hair and keep the dog looking his best, and an occasional bath(using a gentle shampoo) can help keep him from having a doggy odor. The ears should be regularly inspected and cleaned if needed with soft gauze and an ear-cleaning solution'¿the dog's breeder or the veterinarian can recommend a good brand to use. The nails should be trimmed often if not worn down naturally, as overly long nails can cause the dog discomfort and problems walking and running.","Harriers were bred specifically to spend hours in the field chasing after prey, so they need ample exercise every day'¿without sufficient exercise, a Harrier may become bored and destructive. If they get all the activity they need, they can be adaptable to a range of home situations. While they are happiest living indoors with their human family, they make great companions on long walks or hikes. Because they were bred to hunt and chase animals and to follow a scent, they should only be allowed loose in areas that are securely fenced, and any walks must be taken on a leash. The breed also exercises mind and body by participating in canine sports such as tracking, rally, coursing ability tests, and other activities that can be enjoyed together by dog and owner.","Like many other hounds, Harriers are loving and amiable but also tend to have an independent nature, and they can be stubborn. Training takes consistency, patience, and an understanding of scent hound temperament. They respond well to calm, loving, but firm leadership. Early socialization and puppy training classes are recommended and help to ensure that the Harrier grows into a well-adjusted, well-mannered companion."
132,Havanese,8.5-11.5 inches,7-13 pounds,14-16 years,5,5,5,2,3,1,Double-Silky,Long,5,5,3,5,4,3,4,3,24 of 202,Black-Black & Silver-Black & Tan-Blue-Blue Brindle-Chocolate-Cream-Fawn-Fawn Brindle-Gold-Red-Red Brindle-Red Sable-Silver-White-Black Brindle-Silver Sable-Silver Brindle-Fawn Sable-Chocolate Brindle-Chocolate Sable-Gold Brindle-Gold Sable-Black & Tan Brindle-Black & Silver Brindle,White Markings-Tan Points-Cream Markings-Parti-Color-Silver Markings-Irish Pied-Silver Points-Parti Belton,"Havanese, the only dog breed native to Cuba, are cheerful little dogs with a spring in their step and a gleam in their big, brown eyes. These vivacious and sociable companions are becoming especially popular with American city dwellers.
¿Distinctive features of the Havanese include a curled-over tail and a gorgeous silky coat, which comes in a variety of colors. Some owners enjoy cording the coat, in the manner of a Puli, and others clip it short to reduce grooming time. Happily, Havenese are just as cute no matter what hairdo you give them.



 Their small but sturdy bodies, adaptable nature, and social skills make Havanese an ideal city dog, but they are content to be anywhere that they can command the attention of admirers young and old alike. Havanese, smart and trainable extroverts with the comic instincts of a born clown, are natural trick dogs. Havanese are also excellent watchdogs and take the job seriously, but will usually keep the barking to a minimum.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Havanese are generally healthy and fairly long-lived. There are several conditions that the breed can be prone to, including eye disorders, chondrodysplasia, deafness, heart murmurs, Legg-Calve-Perthes disease (which affects the hip joint), and patellar luxation. A responsible breederdoes health clearances on all breeding stock. The Havanese Club of Americapresents awards for members' dogs passing and registering Orthopedic Foundation for Animals (OFA) results for at least four specific health tests for the breed: an annual eye exam (CAER), a hearing test (BAER), a hip x-ray, and patella (knee) certification.","The long, soft, and silky coat of the Havanese needs to be groomed daily to be kept free of mats and tangles. This can be done by gently running a comb or soft brush over the dog while he is on your lap. Pet owners often choose to have their dog's coat clipped to a short trim to reduce grooming time. The Havanese should also be bathed occasionally as needed. The corners of the eyes should be gently cleaned daily to prevent tear-stain of the lighter-colored hair in the area. Check the ears often to remove excess wax or accumulated debris, and wipe out the inside of the ear-flap with a slightly moistened gauze or paper towel.","The Havanese has moderate exercise needs. They will benefit from a brisk daily walk or a fun playtime with their owner in the backyard, as they are happiest when someone is with them. Romping inside the home can also provide enough activity. Never over-exercise a Havanese of any age. If they are panting and struggling to keep up, it is time to go home. Havanese do well in both houses and apartments, but they are not happy left alone for hours at a time.","Havanese are highly intelligent and eager to please, and they are easily trained so long as you use only positive methods. This can be a sensitive breed, so care must be taken to not scold them harshly. Socialization from an early age is very important. Expose them calmly to a wide variety of new places and new people, always ensuring that the experiences are positive and not intimidating. Gentle, patient training will result in a wonderful companion dog. They are affectionate with people and get along with other nonaggressive pets."
133,Hokkaido,18-20 inches,44-66 pounds,12-15 years,5,3,3,3,2,2,Double,Medium,3,3,5,3,4,4,3,4,,Black-Black & Tan-Brindle-Red-White-Red Sesame-Sesame,,"The Hokkaido is a dog of noteworthy endurance and dignity. His temperament is faithful, docile, very alert and bold. He also shows accurate judgement and great stamina.
The Hokkaido is a medium-sized, strongly-built dog. They have longer, thicker coats than the other Japanese breeds, and also have wider chests and smaller ears. Like all the Nihon Ken, they have a double coat made up of protective, coarse outer guard hairs, and a fine, thick undercoat that is shed seasonally. The breed comes in several colors: white, red, black, brindle, sesame, and wolf grey. With early training, the Hokkaido is a very loyal and dedicated companion who wants to please his human family. They are incredibly intelligent thinkers and problem solvers, and they excel at tasks given to them. If not socialized properly, however, Hokkaido can become wary of strangers and protective of their families. The breed is extremely rare outside its native country. In Japan, there is an estimated population of around 10,000-12,000, and yearly registrations of between 900-1000. 

Club Contact Details Hokkaido Association of North America 

Lindsay Tompkins
info@hokkaidoken.org","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Well-bred Hokkaido are generally very healthy, living 12-15 years average... However, like all breeds they are prone to hereditary diseases. Hokkaido are prone to collie eye anomaly, hip dysplasia, luxating patella, heart murmurs, idiopathic seizures, anxiety, psychogenic polydipsia, and pica. When living with a Hokkaido, it is important to monitor them frequently to make sure they are not chewing on items which can cause them harm. Inspect all toys carefully and frequently, and throw away toys that are broken or contain small pieces which can be ingested.","The Hokkaido is a fairly self-managed breed. The natural oils on their skin and coat help to keep them clean and dry despite unfavorable weather conditions. No trimming or shaving of their fur is required or recommended, just regular brushing to remove dead fur and keep the coat healthy. Hokkaido blow their undercoat roughly twice yearly. During this time, a bath and frequent brushing to remove the dead fur is necessary. Their nails should be trimmed regularly to avoid overgrowth and cracking. Teeth should be brushed regularly.","Hokkaido are generally a very active breed. They are best suited for an active family who enjoys spending their time outdoors hiking, biking, jogging, and/or camping. Like all working breeds, it's best to give them a 'job' to do. Hokkaido excel at performance events such as agility, rally, flyball, weight pull, lure coursing, dock diving, and more. Without proper physical and mental stimulation, Hokkaido can become bored, anxious, and hyperactive in your home. If letting your Hokkaido run in your backyard, you should have a six foot fence, as they are good jumpers. For daily walks, a strong leash and a properly fitted martingale collar or harness is recommended.",add something!
134,Hovawart,23-28 inches,65-90 pounds,10-14 years,5,4,4,3,2,2,Double,Medium,4,4,5,4,4,3,1,4,,Black-Blonde,Gold Markings," The Hovawart is a medium-temperament working dog with versatile usage and has a very good nose. He is kind, has an even disposition and protective instinct, is self-confident and has the ability to take stress. His balanced body proportions and special devotion to his family make him an outstanding companion, watch, guard, tracking and rescue-dog.








 Physically, Hovawarts are large, heavy-boned dogs that have been bred to be intelligent guardians of livestock and the home. They come in three colors: blonde, black and tan, and black. They are alert, faithful, trustworthy, extremely intelligent, fun-loving, and stubborn. A Hovawart likes to have a job to do, or he will use his creative nature to find one. They take approximately two years to mature. Currently, Hovawarts in North America are participating in search and rescue organizations, therapy dog activities, obedience trials, agility trials, flyball and service dog training. Owning a Hovawart can be quite a challenge, and they require significant time and attention from their owners, so they are not recommended for first-time dog owners. However, for an owner who is willing to expend the effort to teach their dog appropriate behaviors in different situations, the reward is a faithful companion. The Hovawart is a family dog. It develops a strong bond to its 'pack' and must be a part of the family life; it needs to bond closely with the owner/family. If it has been well integrated into the family, it does not mind spending the occasional hour in a kennel.









  



 Club Contact Details



  Hovawart Club of North America

  info@hovawartclub.org","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Hovawarts are quite healthy and live to a ripe old age. One can expect an average lifespan in the 10 to 14 year range and owners should be prepared to dedicate this amount of time to their care. There are no known issues of breed-specific diseases and hip dysplasia rates have been calculated at less than 5%. For a large breed dog, this is an exceptionally low rate.","Because the Hovawart does not have much of an undercoat, it does not need much grooming. Apart from the period of shedding, an occasional brushing will suffice. Beyond this, the occasional bath will keep them clean and looking their best. Their strong fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting and cracking. Their ears should be checked regularly to avoid a buildup of wax and debris which can result in an infection. Teeth should be brushed regularly.","Hovawarts are a large breed so the more running room they have, the happier they will be. It is preferable to have a large fenced yard, but substitute exercises such as hiking, trips to a dog park, etc. can make up for some lack in this area. It needs at least a one-hour walk, plus 3 or 4 shorter walks to do 'its business' daily. Training for dog sports like agility, obedience and rally can also be a great way to give your dog exercise. Apartments are not typically large enough, or have room enough, for the desired activities.","The Hovawart's guarding instincts are best controlled by socialization and exposure to different situations and stimuli. This will allow the dog to understand how each situation should be approached and utilizes the dog's intelligence to assure a measured response. Absent directions, the Hovawart will make his own decision, and it may not match what you want him to do. Training is needed so the dog understands how you want it to make decisions and not rely on its instincts. Appropriate guarding instincts are a learned process, and the dogs need to be educated by exposing them to these situations.



 It is up to the Hovawart owner to be more alert, intentional, directive, and consistent than his dog. The Hovawart needs a leader it can trust. He does not respond positively at all to harsh methods of training; it is much more important to create and sustain the fundamental trust that it wants to feel toward its pack leader."
